C1_0h  C1_24h_In/C1_24h_Un C1_48h_In/C1_48h_Un	C2_0h  C2_24h_In/C2_24h_Un C2_48h_In/C2_48h_Un	WT_0h  WT_24h_In/WT_24h_Un WT_48h_In/WT_48h_Un	Gene_Name                 Gene_Info 
 2.33                 1.00                0.82	 4.00                 3.00                0.63	 3.33                 0.65                0.92	TcIL3000.A.H_000023700.1  retrotransposon hot spot (RHS) protein, putative
 0.67                 1.67                0.60	 0.67                 1.00                1.00	 1.33                 1.83                0.72	TcIL3000.A.H_000023800.1  hypothetical protein
 1.33                 1.30                1.10	 0.67                 0.92                1.12	 3.33                 0.83                0.80	TcIL3000.A.H_000023900.1  Trypanosome variant surface glycoprotein (A-type), putative
 9.00                 1.31                1.15	17.33                 1.90                0.57	 9.67                 1.08                1.20	TcIL3000.A.H_000024000.1  Trypanosomal VSG domain containing protein, putative
 0.00                 1.67                1.26	 0.00                 1.67                1.00	 0.67                 1.40                2.33	TcIL3000.A.H_000024100.1  nucleobase/nucleoside transporter 8.1, putative
 2.67                 0.37                0.79	 2.67                 2.20                1.53	 4.67                 1.35                0.56	TcIL3000.A.H_000024200.1  expression site-associated gene 2 (ESAG2) protein, putative
 6.67                 3.00                0.37	 5.00                 0.88                0.73	 9.67                 3.50                1.54	TcIL3000.A.H_000024300.1  hypothetical protein, conserved
 0.00                 1.00                1.00	 0.00                 1.00                1.00	 0.00                 1.00                1.00	TcIL3000.A.H_000024400.1  Endonuclease-reverse transcriptase, putative
 0.00                 1.00                1.00	 0.00                 1.00                1.00	 0.00                 1.00                1.00	TcIL3000.A.H_000024500.1  hypothetical protein, conserved
 0.67                 1.00                1.00	 0.67                 1.00                1.00	 0.00                 1.00                1.00	TcIL3000.A.H_000024600.1  hypothetical protein, conserved
 0.00                 1.00                1.00	 0.00                 1.33                1.00	 0.00                 1.00                1.00	TcIL3000.A.H_000024700.1  hypothetical protein, conserved
 0.00                 1.00                1.00	 0.00                 0.75                1.00	 0.00                 1.00                1.00	TcIL3000.A.H_000024800.1  Trypanosomal VSG domain containing protein, putative
 0.00                 1.00                1.00	 0.00                 1.00                0.60	 2.00                 1.00                2.67	TcIL3000.A.H_000025000.1  Trypanosomal VSG domain containing protein, putative
 0.00                 1.00                1.00	 0.00                 1.00                1.00	 0.00                 1.00                1.00	TcIL3000.A.H_000025100.1  expression site-associated gene 2 (ESAG2) protein, putative
 0.00                 1.00                1.00	 0.00                 1.00                1.00	 0.00                 1.00                1.00	TcIL3000.A.H_000025200.1  expression site-associated gene 2 (ESAG2) protein, putative
 0.00                 1.00                1.00	 0.00                 1.00                1.00	 0.00                 1.00                1.00	TcIL3000.A.H_000025300.1  hypothetical protein
 0.00                 1.00                1.67	 0.00                 1.00                1.00	 0.00                 1.00                1.00	TcIL3000.A.H_000025400.1  Reverse transcriptase (RNA-dependent DNA polymerase), putative
 0.00                 1.67                1.00	 0.00                 1.00                0.75	 0.00                 0.75                1.00	TcIL3000.A.H_000025500.1  hypothetical protein, conserved
 0.67                 0.60                1.00	 0.00                 1.00                0.60	 0.33                 1.20                1.00	TcIL3000.A.H_000025600.1  hypothetical protein, conserved
 0.00                 2.33                0.44	 0.00                 1.67                0.50	 0.67                 1.67                1.00	TcIL3000.A.H_000025700.1  Retrotransposon hot spot protein, putative
 0.67                 1.00                0.43	 0.67                 1.00                0.80	 0.67                 1.00                1.67	TcIL3000.A.H_000025800.1  Retrotransposon hot spot protein, putative
 0.67                 0.89                0.50	 0.33                 1.17                0.80	 2.67                 0.39                1.20	TcIL3000.A.H_000025900.1  hypothetical protein, conserved
 0.00                 1.00                1.67	 0.67                 0.60                1.26	 0.00                 0.86                1.00	TcIL3000.A.H_000026000.1  expression site-associated gene 2 (ESAG2) protein, putative
 0.00                 1.00                1.00	 0.00                 1.00                1.00	 0.00                 1.00                1.00	TcIL3000.A.H_000026100.1  hypothetical protein, conserved
 0.00                 1.00                1.67	 0.67                 0.60                1.00	 0.00                 2.33                1.00	TcIL3000.A.H_000026200.1  Endonuclease-reverse transcriptase, putative
 6.00                 1.67                1.00	28.33                 1.40                1.32	16.67                 1.04                1.90	TcIL3000.A.H_000026300.1  Invariant surface glycoprotein, putative
 6.67                 1.00                0.85	 8.33                 0.61                1.47	 4.33                 1.21                0.68	TcIL3000.A.H_000026400.1  procyclin-associated gene 2-like protein, putative
 6.00                 1.76                1.15	10.00                 0.92                0.94	10.00                 0.61                1.74	TcIL3000.A.H_000026500.1  Trypanosome variant surface glycoprotein (A-type), putative
 0.00                 1.00                1.00	 0.00                 1.00                1.00	 0.00                 1.00                1.00	TcIL3000.A.H_000026600.1  hypothetical protein, conserved
 0.00                 1.00                1.00	 0.00                 1.00                2.00	 0.00                 1.00                1.67	TcIL3000.A.H_000026700.1  expression site-associated gene 2 (ESAG2) protein, putative
 4.00                 0.53                0.27	 4.67                 1.59                1.00	 2.00                 1.80                1.00	TcIL3000.A.H_000026800.1  Trypanosomal VSG domain containing protein, putative
